model,label,substrate_pair,rmse,mae,bias,mean_predictive_std,n
M0_vbur_vmin,%Vbur(min) + Vmin,1a_2a,20.180185146424005,14.656842648044782,1.217492007695118,14.662703806091173,64
M0_vbur_vmin,%Vbur(min) + Vmin,1a_2b,19.886942611176238,16.238301910305,-1.7879004583877203,14.552773652683474,64
M0_vbur_vmin,%Vbur(min) + Vmin,1a_2c,8.29649193107104,6.127398699363917,1.8840842178373098,14.63994270222156,64
M0_vbur_vmin,%Vbur(min) + Vmin,1b_2a,14.421904378373597,11.861940791511849,1.0165592620427562,14.65110915351952,64
M0_vbur_vmin,%Vbur(min) + Vmin,1b_2b,12.569632270772704,10.593360308054146,-0.007640557994300412,14.64745417948925,64
M0_vbur_vmin,%Vbur(min) + Vmin,1b_2c,10.567993170216303,7.987643461935702,-0.12009053448989163,14.625044249446418,64
M0_vbur_vmin,%Vbur(min) + Vmin,1c_2a,14.441611010560974,11.036180963884988,-2.5535352657245505,14.571573990294809,64
M0_vbur_vmin,%Vbur(min) + Vmin,1c_2b,15.94984066408615,12.570590676300286,1.206523113668241,14.59024369327847,64
M0_vbur_vmin,%Vbur(min) + Vmin,1c_2c,11.596894988847291,8.83109210588398,1.5652406519350552,14.623152769700312,64
M0_vbur_vmin,%Vbur(min) + Vmin,1d_2a,12.958425214892765,9.710493428974488,-2.8649415300565533,14.74869048173921,64
M0_vbur_vmin,%Vbur(min) + Vmin,1d_2b,11.540237909199154,8.3262198427762,0.7397543078725533,14.529876130600993,64
M0_vbur_vmin,%Vbur(min) + Vmin,1d_2c,11.569199630718005,9.363704978592372,-2.4562174707376085,14.593693112661509,64
M1_interpretable_5,Five interpretable Kraken descriptors,1a_2a,11.478404356760734,8.865454755139224,-1.0473332192413787,12.903947948392887,64
M1_interpretable_5,Five interpretable Kraken descriptors,1a_2b,13.493105044560266,11.506911432415723,-2.271063033782326,13.066490656928945,64
M1_interpretable_5,Five interpretable Kraken descriptors,1a_2c,8.314831250504136,6.601726135715566,1.2555462143757021,12.957538507168707,64
M1_interpretable_5,Five interpretable Kraken descriptors,1b_2a,12.82680027358981,10.375262609836591,0.27219833886782846,13.018268151334096,64
M1_interpretable_5,Five interpretable Kraken descriptors,1b_2b,13.372851060631863,10.68735941524369,-1.65572881750753,13.05890644798084,64
M1_interpretable_5,Five interpretable Kraken descriptors,1b_2c,12.579389004109004,9.158045975604637,-0.6929874667925621,12.980543329836957,64
M1_interpretable_5,Five interpretable Kraken descriptors,1c_2a,13.630004432135763,10.563712387517565,-1.171202406051562,12.990769441983243,64
M1_interpretable_5,Five interpretable Kraken descriptors,1c_2b,14.44052692900358,11.162761844569644,1.9729160356510607,12.922765613676964,64
M1_interpretable_5,Five interpretable Kraken descriptors,1c_2c,11.934433904442631,9.28268181041851,0.9348824902853234,13.057919076839955,64
M1_interpretable_5,Five interpretable Kraken descriptors,1d_2a,12.171833747701646,9.127983397369018,-1.0110495354693638,13.142139587929371,64
M1_interpretable_5,Five interpretable Kraken descriptors,1d_2b,11.212860806913195,8.83753581835667,1.656629970359721,12.964244124154119,64
M1_interpretable_5,Five interpretable Kraken descriptors,1d_2c,13.212935503046936,10.790693043897301,-4.263747710552522,13.04417092812912,64
M2_all_kraken,All cleaned Kraken descriptors,1a_2a,15.328632183337078,12.51298637774078,1.8802027266129833,14.691797957533026,64
M2_all_kraken,All cleaned Kraken descriptors,1a_2b,15.966798289469606,13.373468081155437,-1.0014913888269574,14.863138106635722,64
M2_all_kraken,All cleaned Kraken descriptors,1a_2c,9.497600293230727,7.620608750056296,2.4934558534714184,14.770437617667406,64
M2_all_kraken,All cleaned Kraken descriptors,1b_2a,14.93390792416912,11.793362368543901,-1.0811967629786845,14.901088524279162,64
