kraken_id,PC1,PC2,PC3,PC4
1,11.146998953760388,-0.575410975371443,7.39038326257337,-4.352124812605922
2,8.705594072011285,-1.6618377687302301,6.162983947914771,-3.9391943993494567
3,7.006813197662966,-1.658448254426172,4.49707991274648,-3.3972137658086545
4,10.698928465854003,0.20392979412805567,7.1714575941781105,-4.241834033844005
5,5.1175834568096965,-2.393662220214597,5.963274299938826,-3.6149936374367484
6,1.85373175430537,-10.546650556149928,-3.2551155043434923,-0.0816416220281384
7,6.261724495417559,0.056496416786801146,1.6852478684494663,-3.0429857601882238
8,-6.091458887794986,-11.179053023746818,-0.03870290193789424,0.10044910240979239
9,0.538039767028834,-6.097161192770814,-0.6078551399960854,-0.776293531821131
10,0.984011840832637,-6.126130679292403,1.0541531662811179,-2.46039351934221
11,-2.0577163566128336,-4.84134394206855,2.4600248740584187,-3.796705794681937
12,-3.706772841681739,-10.62909391659964,0.30622424362730927,1.1817666370670599
13,-3.539777120442303,-4.934252020561567,-4.140122298249622,-0.7033521812322882
14,-9.13013286599909,-7.983790395515969,0.30061138576128005,-1.391430196378562
15,1.614998073263156,-2.4578836730028084,-2.8983186961281007,-0.8726101495217639
16,-0.43010237635622117,0.22097437686158442,-8.665493282988656,1.0330508324404413
17,-4.4889530459413285,-4.627735214860384,-4.33981927534688,-1.8254933764475707
18,-2.4104952628062275,-3.7556303225853234,-5.720871169253421,-1.974045598399376
19,-2.0068903290289146,-0.6414272005191481,-1.8949156042448088,-2.487463277244667
20,-4.115522570680527,-0.36843281811685136,6.6529045307186,-6.381258795032053
21,-12.2173154352282,-4.226806644489343,1.9206402760112498,-4.102262634024784
22,-17.089297484791256,-4.771192248140456,0.19140360367871476,-4.380912307515422
23,2.9636313524940445,0.47937758681430936,-3.676743817084239,-2.3778091538399453
24,7.776262337377571,1.201685336305789,1.8840615006104253,-3.4752766259857832
25,9.704415185452891,0.2760923367458285,3.728402252706579,-3.269677788388435
26,10.040598187297157,3.1849735109055333,-0.8337502952795988,-0.9015378206448469
27,8.393674192616157,-2.420770780312481,3.3388881909130537,-1.6933769384241593
28,8.7393570753257,4.095327395678862,-1.039826126958794,-1.5962054363448863
29,13.352823759527139,3.35937598555188,-0.18951318255742652,-0.5585799767212741
30,-3.3788720854947134,-8.493211716398271,0.45165398776921717,-1.0352387617375058
31,-3.2152265526674455,-8.42295952997209,-1.977345807158048,0.40757960814636257
32,-2.509268735775509,-6.557996668359591,2.3032721752811542,-2.5994222165416865
33,13.12845204263836,3.5448712329801904,0.9915081954711168,-0.9109099329347248
34,12.36821748018416,5.584003939407174,1.2937398482750255,-2.041791463833124
35,12.682937208972827,4.907314068070146,-0.2575025845245496,-1.3169080956231727
36,7.992198453271277,-11.111495474948235,-0.3353650847308409,8.98078563697008
37,6.926986236597359,-11.618289318355165,0.6592646725887942,7.114078427117827
38,6.583922125522182,-2.6998330607039747,3.872069744885137,-2.7477636054629344
39,6.855432102116755,-3.043435522506039,3.553992567713448,-2.254145136461903
40,-3.6154168881793782,-0.6621051252641561,-3.5079823831527155,-2.0115177908481274
41,3.278336500514796,2.69503381341119,5.184044173353217,-3.0796477525504087
42,4.218527056323835,-7.505771054805646,4.163774286674385,-0.7292274920631797
43,1.894786796939826,-1.393839990598488,4.100225930653413,-0.7276431411670812
44,4.319327395058708,-1.2507990593754232,6.29797343728757,-3.8248925127161226
45,-1.1878479067179348,-0.12241859853510058,4.43918828255378,-4.15013801187888
46,2.080143667942694,-0.6389052047213317,6.375966885264931,-3.8193602412036114
47,1.1446232104570921,-1.6365561994944433,5.057021174840567,-3.3959595868978654
48,2.3373698236511142,1.0420179397118725,7.541628784076712,-4.839298298541056
49,21.36766070607552,-25.79093150376277,0.5725240778878561,20.064493616206345
50,10.220785019510725,-1.213279514880692,-3.2887081016700788,1.0009184204499233
51,17.287871464958158,-27.682904497390204,2.3415097898861537,20.368207475646866
52,7.911370918078756,-10.834385980928255,-4.286431990379369,4.195339763144733
53,6.208314512486862,-6.314710990219977,-1.3623849738530498,0.6786096531166363
54,-6.761762015672802,-1.3027938105831751,-2.848524601971529,-1.9970096564627613
55,10.180701939969007,-0.3593676987203925,0.9311046259274013,-0.06561781282451686
56,4.93224412460108,-0.653706213784061,-2.740023560154236,-0.341383560033084
57,-2.3999680373738492,-2.5719838867509734,2.7514625416456306,0.871807884284747
58,0.6680013721156677,-5.412129441177403,2.7804430208529842,1.8257968671093503
59,-5.644882720958198,-2.695386776897306,0.25272955823888305,1.3660061621699104
60,5.883913977342271,-14.470627022658427,-3.328315068459847,3.8689060646733267
61,-3.7803872397369838,-3.4832219667116457,-4.979232406140824,-0.8583259302875522
62,-0.2357096890171598,-0.07114320130617754,-5.613581579821224,-1.924744155391892
63,5.564972744281069,-6.6661597635842345,3.660059486261329,0.7028150170525594
64,1.4149396199027084,-5.592595628687221,0.4840149432569774,-1.2938191425017707
65,-0.04405680416874113,-0.18027923410920174,1.806666188204217,-2.455704579243587
66,-4.417817871991118,-3.205811940339064,3.6966724039537606,-4.540426913934505
67,-0.5284855876805035,-3.448812362385424,1.52283966751475,-3.1475080221871177
68,-1.7111553983629264,-3.154203812405115,0.6659475997624081,-3.2123166642268304
69,1.9286207217381353,-0.15253930449320166,-2.093047829651521,-2.4144615292915352
70,-4.373741360621429,-3.643691472415667,4.352865240304319,-4.377134615892672
71,-0.7817342746512137,-5.183980729931762,-4.812703659361362,1.5285288967885158
72,-7.549316005230968,-1.7639187798796347,-0.7711717744705142,-3.5978057931754974
73,-5.98265100647654,-2.478720429738839,-3.2651532036855637,-2.241046632555424
74,4.354617518713058,5.421014983422579,4.177571520686779,-5.148663969700771
75,-2.2612511618672246,8.071310813800068,3.4461871720565025,2.8525065062141683
76,9.544338949010747,1.369771491774845,3.819986270683073,-3.5366797389631217
77,-5.231578807180726,-3.4968357687200413,-0.24388185218755978,-2.297342846204327
78,-7.379613255460956,-7.53496195816329,2.311709188147486,-1.9157843344739105
79,-8.432917787330725,-5.906174058770902,3.120187343020101,-3.4099155815891073
80,-9.187157317848689,-1.938623808541743,-1.8099079621127263,-3.3033782321258314
81,-6.770200324093471,-2.598271702874591,-3.5654766133816955,-2.2829351157370357
82,-2.0221021432552333,-2.898084831495998,-4.3625453146774404,-2.363530082733827
83,-7.761228142146178,-2.4137469215139005,4.871505327480193,-5.375929290152006
84,-4.682904736250665,-1.6820127331802126,-1.7333205434555108,-2.636960633312839
85,-4.797012440465953,-3.0408381570011733,-2.609604726449526,-1.9360977973505782
86,-2.2986974582572697,-3.198459515800102,-5.464192478777431,-1.7660145900492124
87,-7.560415689459106,-8.462579708919659,1.219299142151215,-1.3598140052843113
88,-3.7094615503238444,-6.532981405964682,3.425804214040064,-2.6222073247242728
89,13.050494119547714,-6.00420162203092,2.502824021646657,2.8251433870068876
90,9.310977747863888,-11.242960932649458,1.772590851486448,8.074358953264483
91,7.201970036131046,-6.25350028534241,4.144605299389756,-0.8872756250956688
92,7.099128331519146,-11.366378463842391,1.0074475508351546,7.910703281317723
93,2.938851512000797,0.44778562662105326,7.757744657520262,-4.041203666423059
94,2.054004543368859,0.20324164213944398,4.833537650486057,-1.6634734608762798
95,-4.816864443534693,-1.1037254871039353,-2.600497664898948,-2.30933064622464
99,0.09639593234371968,-3.7589383804239027,-1.1432614369339815,11.374254777967328
100,3.4906170863645287,-3.029411032136068,-0.12082551870764141,11.6806053260872
101,5.464375543270609,4.034924682819816,3.2959976426757964,1.8132218363179031
102,13.894359930232214,-0.01776407782889985,4.626442886336765,-2.2073180602339004
103,12.675582882162685,-5.662039480673921,3.9990455891461387,1.9342523268315297
104,16.434333809797756,4.4241559016659595,-2.1307549316592693,1.3480356772061215
105,9.461589564658057,3.7306044154407156,1.9847528476643952,5.094461098659504
106,8.682478341570388,3.7867545094426633,2.4610549728547673,4.490160153267727
107,-0.9984695048884566,-5.94832036597617,2.578112371639391,-1.5954142394313682
108,4.128034888432638,-15.387889539869214,-2.0958063144097645,4.103374389615035
109,2.247546205227378,-2.411052997888425,5.499556408864013,-3.253162170122914
110,-3.7738566461841963,-10.801216206701369,-4.744162594577529,-7.296514716448299
111,7.701709818779188,-1.6210617209254699,6.72119265522305,-1.9611136663409576
113,7.62340970522027,-8.246270007481682,4.563496600800296,2.725871967041085
114,-3.669454721753432,-2.9688087356299118,-5.641975397074255,-1.173931639112036
115,-0.6328245801287967,2.823132077156086,-11.377773143759041,0.7827532505597903
116,-0.4736188122886312,-1.5144085415962723,-7.155666809710952,-0.9400315401644722
117,-3.3371114342973542,-3.800032108930694,-5.007567593256418,-1.7273051572886302
118,-2.962951010590096,-2.8385525100428666,-5.8397050925001945,-1.197424868570825
119,6.336183869672386,-3.6128907873447274,1.1893078230971497,5.461198574577418
120,4.855923190665112,-0.3715401645073072,-5.588973838101872,2.3078923701528673
121,8.33698180428313,-3.5325461256216224,0.5593455584374053,6.316954786785251
122,-0.20723669091076094,-1.4200838721868707,-6.17033681253064,-1.5114194371900385
123,-0.183222020871503,-4.009719527586476,-4.420382751576634,3.8229639986399078
124,-16.44889845077102,-1.757048326383895,-0.23813093327504273,-0.8734040114466406
125,-0.23007246726472763,-1.9735586361245814,-6.208560435707418,2.2553000425502745
126,-2.605504181007062,-3.3615072213960744,-5.384612166752793,-0.8878709938788734
127,1.4619698134315673,-6.8812064840793905,-3.6397604967789747,1.8315031271055209
128,-9.805169719408928,-5.633890802462076,1.16824506380514,2.262154671452836
129,-5.023326227555243,-2.56000931962178,-1.7403539280257951,0.06112923244104066
130,-2.0632802361681244,-3.29199748941141,-3.45830955806116,-1.5043325373045937
131,-1.9298992707547211,-1.9540488367189093,-5.648510082298938,-1.4360659220203007
132,-3.541772289118284,-2.3877445354964837,-5.258117252209839,-1.2479068477454323
133,-2.763848556809577,-0.38199166707208676,-5.533760728091349,-0.765188317680809
134,-1.0277964152214267,1.6152214889654044,0.8100108707254907,-4.131517793263105
135,-5.642862021226923,-2.3601038814929045,-2.8262198850643347,-1.9163438520908131
136,-11.900165980437684,-2.8877040779580825,0.6880718156818241,-4.010232362752363
137,-2.874801735324524,8.61622442324208,2.740582032913461,-2.033706631818819
138,-6.775553272116296,0.09681286879981296,-1.6351584054971455,1.3887702404793798
139,-5.32252554498304,0.19446017078362307,-0.3934498722350496,0.8446974196063481
140,-4.028241432656672,-0.2763861280946503,0.013352425221828544,0.7534136719429988
141,-3.170382544351206,2.4744709386211934,-0.3962882512525193,1.086696725078316
142,-2.303359683497978,2.533196530571659,-0.9771462307822397,2.3151057479878485
143,-8.82078140483582,2.4320109454750773,1.798057395276489,2.463904705581143
144,-7.28935394591952,1.801683700885133,1.3167542871647164,2.3685674712320273
145,-2.291618473056671,4.327233880932408,0.875829985748994,4.03782044355525
146,-2.5525732474377825,4.586449619958326,5.378346396722337,0.6728656275565699
147,-15.396598544445723,1.8939367765724637,4.51951945839132,3.1818436894070667
148,-11.400718405265867,2.291308068717466,3.851772424683995,2.5112669184056116
149,-7.905976766689535,2.6695496080679266,6.72192125819369,2.1314492802185665
150,-4.752142419293466,6.715189938318463,8.181254403737093,0.12868279048450312
151,-2.4176909678639786,10.806174653123241,10.236141670462349,3.7817118384950934
152,0.09914645095684307,10.820473640669638,3.9652528782416403,2.8285276546070146
153,5.4256767527109,23.990476054506697,-6.169646789697157,7.703332133587068
154,-3.3840599180312005,0.47725567436830707,-2.425394599898213,-2.116772231259087
155,-0.46743606612870414,-1.6507877354471585,-5.970480131026449,-1.5276887082246244
156,-17.433384257738652,2.8115252971251445,-1.460021716093075,-3.9311280686068897
157,4.669850653710214,0.39187889676408166,-3.7337697957602187,-3.1028543358660405
158,5.724914628822621,0.11105244803474418,-3.214828879465811,-3.0095605534719856
159,14.057381611609038,5.85800718478797,-1.8414673675817619,-4.567630713869672
