model,label,n_transformed_features,n_fit_rows,fit_seconds,fitted_kernel,rmse,mae,r2,nlpd,coverage_95,mean_predictive_std,prediction_outside_0_100
M5_ligand_onehot,Ligand identity one-hot baseline,32,900,10.202826399996411,"1.27**2 * Matern(length_scale=2.02, nu=2.5) + WhiteKernel(noise_level=1e-05)",12.438599441236088,9.685072237706224,0.8297817010344759,3.931431441776091,0.9518229166666666,12.899989187968686,0.02734375
M1_interpretable_5,Five interpretable Kraken descriptors,29,900,5.958325500017963,"2.29**2 * Matern(length_scale=3.79, nu=2.5) + WhiteKernel(noise_level=0.0577)",12.482504582420253,9.746677385507011,0.8285779243227973,3.9435274208615865,0.9505208333333334,13.008975317862934,0.022135416666666668
M4_pc_scores,PC1-PC4 scores,28,900,6.079854800016619,"2.2**2 * Matern(length_scale=3.66, nu=2.5) + WhiteKernel(noise_level=0.0796)",12.711383955157995,9.981544196439758,0.8222338956178745,3.966032187301211,0.9661458333333334,13.60556792880674,0.016927083333333332
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,36,900,5.97774580004625,"3.49**2 * Matern(length_scale=5.27, nu=2.5) + WhiteKernel(noise_level=0.0708)",13.070579630591896,10.241847217989294,0.8120453927709447,3.9841058011897204,0.9557291666666666,13.281831693381342,0.016927083333333332
M0_vbur_vmin,%Vbur(min) + Vmin,26,900,5.285691299999598,"1.87**2 * Matern(length_scale=3.28, nu=2.5) + WhiteKernel(noise_level=0.126)",14.087883010505788,10.608647484635643,0.7816492167514675,4.081522733500758,0.9401041666666666,14.61968816014389,0.0078125
M2_all_kraken,All cleaned Kraken descriptors,214,900,13.90455330000259,"1.69**2 * Matern(length_scale=2.58, nu=2.5) + WhiteKernel(noise_level=1e-05)",14.660847742228425,11.73147640056961,0.7635270614910454,4.096605448487722,0.9583333333333334,14.837251791364215,0.014322916666666666
