,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
vmin_vmin_boltz,-0.04067306530540895,0.10981953552077278,-0.041338244207637334,0.13129977274451812,0.01620225287452453,0.03761220905936249,0.07083604441466985,-0.161689519448916,-0.05080475276331391,0.021807081831892255,-0.1262013562662472,0.02858889649020963,-0.048817396353129594,-0.0694674175542714,0.037648006097466366,0.0028639490591530125,-0.03406338822670174,0.018786409119222355,0.04083822849690392,-0.03549290610578986
vmin_r_boltz,-0.031976712086411285,0.09478640684095829,-0.029553152030867447,0.10669412842363274,0.0018462569981042287,-0.010933563724920964,0.07824560503453858,-0.2043882023918523,-0.05146909697671195,0.006859764445751235,-0.1408422415617171,-0.004695491678333686,-0.003288138952768159,-0.11781068871775718,0.06772318972672302,0.05844789612091804,-0.08985900140865065,-0.021348366371441704,0.031202626905766112,-0.010434612978711224
fmo_e_homo_boltz,0.0689854867747084,-0.08071910798533272,0.0076196971082009984,-0.0677526072028799,-0.037611461779186624,0.016743681811869943,-0.10389297138139231,0.17285287209727868,0.10574822371716046,0.10548013335323592,0.12799548764412924,-0.053338878784683796,-0.06688768899358973,-0.0004309165837007717,0.029180707234866852,-0.004687936771092307,-0.1316261785053618,0.050952116096704865,0.011047597407271955,0.008131259313720772
fmo_e_lumo_boltz,-0.05180416974357119,-0.06535314216846433,0.10796222610018481,-0.040589133625210716,-0.04397363518708567,0.06551254621802421,-0.012614193882904884,0.16657404679975252,0.08400804069998805,-0.10361920587349757,0.10029991610780403,-0.07706017927526845,0.08141754521630899,0.019900344946420248,-0.051889706022893466,0.20820992587326387,-0.07906588265063617,0.029285623028574882,-0.03532955044785291,-0.08977719274460301
fmo_mu_boltz,0.00013882147907651882,-0.09273117396310165,0.08355680646603869,-0.06735174183492454,-0.053145276311732374,0.05741570881715305,-0.06681043359189162,0.2181419528523193,0.12030213539943557,-0.017725299936600956,0.1445958965745167,-0.08616969702527708,0.022784595767657623,0.014385220574231888,-0.021969796836665945,0.15040785424467473,-0.13100279284495486,0.04974038863081817,-0.01984344285531725,-0.06146980856084995
fmo_eta_boltz,-0.09159224788164784,-0.003985559825289198,0.09019993183115249,0.009243074098248726,-0.013789124099036779,0.046673703012658274,0.057964082611090595,0.03202994249016011,0.0038010636224941703,-0.16158573344317032,0.003381498398044358,-0.03252551436442648,0.11632837320851894,0.017846947243090605,-0.065195168880053,0.18684531632724552,0.017770356825223432,-0.008044130092799487,-0.03852263698151813,-0.08462851403012912
fmo_omega_boltz,0.03340007271515529,0.07971758342476909,-0.10464212603735701,0.05270235635226955,0.06375060266599136,-0.06458417968821425,0.027136445520642594,-0.18250154285992476,-0.10095300062113176,0.06662898784199514,-0.10461508350324197,0.09637404866597381,-0.05130480963521415,-0.008635987849934745,0.030016835862358246,-0.1808235462049285,0.09212359295989614,-0.035488798710474646,0.04644683002413433,0.08700621214759029
somo_ra_boltz,-0.09090076064035055,-0.04873847810309212,0.10621398937627599,-0.02369418352035521,-0.017319144818027515,0.01983843841126265,0.0036284712666022623,0.112068590501988,0.03753412693978622,-0.08276755078540815,0.08362210271281872,-0.07991314664171034,0.08483257700011106,0.020597781737063656,-0.03603989821363173,0.1391065948146012,-0.03366828877977891,0.02156149951804813,-0.014789237241145073,-0.040564047544656104
somo_rc_boltz,0.10888995775494723,-0.007993176998542828,-0.033602188661339474,-0.022860540318713957,-0.05506883064441667,0.030020989491114758,-0.09546834800925401,0.0875043027577398,0.07129206240978704,0.11884259619956183,0.028384615949369807,0.0180802879764502,-0.10809661345020372,-0.048903260019815986,0.02873690839110002,-0.01479876205585367,-0.06043014285051174,0.038230456233815435,-0.005295647749811817,0.01168576611293436
nbo_P_boltz,-0.023789768179655724,0.08843548980625084,0.07250861501576504,0.16954037273765818,-0.05832182781223699,0.1046354558303722,-0.09435041476915673,0.0597087683793273,-0.010141408801610186,0.012725443790707489,0.08102991133941725,0.08734216792850683,0.05090845957668862,-0.0834270845549996,-0.038175454035750414,-0.057499889805104926,0.05553263720725876,-0.0648300566736532,-0.039501976982276366,-0.015714757120059583
nbo_P_ra_boltz,0.00625098739239603,0.07919751421555181,0.06043051109774201,0.14845570213893922,-0.05731668908755427,0.10941775995287306,-0.12469765940227623,0.09179409678466294,0.00943162305895176,0.04090044979006552,0.07447598645957576,0.14833061673642586,0.028242283653966263,-0.12586336910231355,-0.05314620829592631,-0.06067383792550236,0.09513625039275654,-0.07437208390953168,-0.028889675546254684,-0.030352783058044758
spindens_P_ra_boltz,-0.07997395326151292,0.03239070149964025,0.05491117020682147,0.08472242745236704,-0.011124826040897262,0.002001978904530133,0.060336112901205136,-0.07072421476037508,-0.04783655542609966,-0.08392538412275,0.021670463505626986,-0.15914127291747404,0.06912737354486445,0.11910066020826643,0.03628543041055729,0.028186960821541485,-0.11765869229278922,0.03454218149551877,-0.05061919629102477,0.017736578865800004
nbo_P_rc_boltz,-0.03967941089320232,0.04359116666036943,0.08451392722108132,0.1312926447896888,-0.0025393087050387675,0.09879350248361424,-0.04868171290467099,0.04986242110129249,-0.06054636107129453,-0.10727618156377008,0.07081403040917944,0.11142778916573245,0.1264542550799732,-0.0011213075080154233,-0.10925811157099852,-0.06630316010671673,0.22998480441795321,-0.11010574054225378,-0.16182271030965,0.00796764037605641
spindens_P_rc_boltz,-0.016882843171063387,-0.08235497959569701,0.0034831934313027057,-0.09183447300832158,0.09958013766468493,-0.028956456346141538,0.08470248374408343,-0.02852859714308087,-0.08135362626836273,-0.19233151515031066,-0.04005715725792505,0.02577034061432469,0.11284045112459662,0.1486176851984421,-0.10538612935055816,-0.011131070231892628,0.2632562615003401,-0.05882988911917636,-0.18895965087495675,0.04122972051978506
nmr_P_boltz,0.03769259409833005,-0.07490241687404418,-0.07291297641616065,-0.18106509860177353,0.056814583403237064,-0.05765460093536947,0.10363011427013506,-0.04204881012468467,0.06684881179610269,0.027368581849118896,-0.09966994929856365,-0.01646007778163723,0.016149754075308706,-0.08619826514595183,-0.03234540537163935,0.06587134038331435,-0.01003481953567692,-0.025708973942601798,0.046966669887607136,-0.010295274402939841
nmrtens_sxx_P_boltz,0.045582917017370626,-0.07867852794285048,-0.06957989608074898,-0.17067392619285954,0.0623638461231645,-0.02373377350916757,0.08513704053327228,-0.024886839270959964,0.05638431003647054,0.0009895132338626073,-0.08962300555796657,0.034745238580470766,0.037549802382006,-0.15856172274269587,-0.05532603333183423,0.07232080102497412,0.0011696068672091275,-0.053907869160298105,0.03473106195008757,-0.011171953862713982
nmrtens_syy_P_boltz,0.04252155983625588,-0.0804727140442319,-0.07711053042498256,-0.17399109033967997,0.05978184563140518,-0.07012120735502678,0.0826242629521147,-0.039286000426002624,0.05808187068709286,0.03538354374272623,-0.06251580086188238,-0.04909091512663638,-0.00060312100793114,-0.02693895085984993,-0.020396706831905753,0.012631361833528674,0.01798529056775708,-0.016660390425580898,0.04365465814629291,-0.0025282783156951177
nmrtens_szz_P_boltz,-0.0009117661699017437,-0.02955412721717326,-0.04538323353495628,-0.1454391565355555,0.01884838888743426,-0.08638742540847778,0.13688027486317084,-0.06637731338538712,0.07749634327786876,0.059066744831269447,-0.14293339363448151,-0.064279084540255,-0.007538034925470491,0.0016732647911067156,0.008570134975738608,0.113574417395564,-0.07497221633971501,0.02827403470957704,0.06003237395873502,-0.01712821270459962
efg_amp_P_boltz,-0.02913014415378865,0.06780952342424264,0.0465201034536323,0.17811324479517582,-0.04579394552841316,0.03048771581522948,-0.07676981212843195,-0.005079760651821122,-0.05034335632875771,0.04844322150867675,0.14328865710995156,-0.10367622648228503,-0.009651651257716887,0.14576412132911548,0.08304966683413531,-0.16267529747247964,0.10469734149283068,0.00033478147757412535,-0.030230183115429188,-0.019433043926686988
efgtens_xx_P_boltz,0.025880067565979433,-0.04869608381844968,-0.03955358981059063,-0.1353742018525212,0.04628199977791556,0.03436469672302929,0.07883240901968533,0.01905479767299377,0.046098546696744715,-0.06025336055463565,-0.13665762162137202,0.1720788809179416,0.06291307367971899,-0.30690444559326435,-0.10385651297262662,0.18669368639290276,-0.06094319805014892,-0.10804531146483436,-0.02585593966183753,0.011962704804441768
efgtens_yy_P_boltz,-0.008444659153992022,-0.007835134795010308,0.0029590683343308556,-0.006876254994198933,-0.018364533327185007,-0.1090067161152341,-0.02946115509293802,-0.03485144169298241,-0.01351249021929694,0.04169832333830545,0.04936254380150347,-0.2008628375037236,-0.11383404582267106,0.4087161475415145,0.08971728666422185,-0.1270587039798962,-0.04281952798281152,0.22825994088728285,0.09226403401870409,-2.2488381120261414e-05
efgtens_zz_P_boltz,-0.027087762632799498,0.07123927753511909,0.049898493412998485,0.18530848514319767,-0.04565400914702173,0.04758822398949997,-0.0793171525429961,0.004521288499905359,-0.0495565194909146,0.044235723052590006,0.1389581737653766,-0.05646314074382619,0.013873029210129562,0.05757550182679211,0.061001754522865215,-0.13889402799950068,0.11736363472259775,-0.05181956410216548,-0.04456097564834685,-0.015836929821739593
nuesp_P_boltz,-0.04693801713337497,0.11828046474363005,0.02432847485393819,0.18099562487815485,-0.030549612051171533,0.06891686462024887,-0.0020994644068639988,-0.06908746533941447,-0.04617903154944664,0.007071503490973147,-0.04251538608134969,0.04699905032553048,-0.0032462444166729276,-0.07680233481597562,0.018615980760433887,0.011810816107443764,-0.018666353358940374,-0.018796756891543587,-0.0002792306762479657,-0.009570480132165653
E_solv_cds_boltz,-0.10208524114046334,0.0102381105152637,0.00964027487627073,0.04608673773143288,0.10844640205365846,-0.03982783099182162,0.01965572117906452,-0.019353895361182857,-0.013224318228106005,-0.05697142386474266,-0.0213507255340099,-0.03488937087635208,0.009925177341321867,-0.04188479220223107,-0.017455384428552434,0.05478411135766517,0.060813663803722974,0.00502577516213526,0.10581989774315631,-0.0743982464405866
nbo_lp_P_percent_s_boltz,-0.06021178546055997,0.11463620449547712,0.0840919887918999,0.127368753994288,-0.06492782350201314,0.008761818117146441,0.0070813515407839416,-0.030186287501113285,0.007310061006749954,-0.0027724630504293727,-0.03717245629990863,0.016410837589773387,0.010582432810545397,0.01210181707401975,0.00729847084902413,0.08267659956174833,-0.05721583261083554,-0.010461984130544777,-0.06277951282967603,-0.018486428410369557
nbo_lp_P_occ_boltz,-0.05482211304594026,0.07304983476401991,0.10715183388743019,0.04984355550055176,-0.08486245579431545,-0.04097943777057979,0.010397563064000505,0.021116036721035198,0.024530464357141908,-0.0553911676833769,-0.008468198108340224,-0.04270615353782051,0.03943545492194646,0.1227716627154071,-0.013689753018765738,0.1459612963010429,0.016086823205108847,-0.024888898436486284,-0.1458515606308036,-0.10236695294180051
nbo_lp_P_e_boltz,0.06343849504034661,-0.12615088572974753,-0.031063330188663835,-0.13236463393674716,0.033106860552407275,-0.005941799891446123,-0.052392467159583476,0.11017775895287199,0.0250903539517894,0.003942770094364461,0.09656771167295676,-0.008243839640314953,0.01373092226648678,0.004824422910062472,-0.02709886684663585,-0.06317776849904005,0.04938114023657508,-0.003031825872434002,0.02742700274376625,0.03565964572622765
nbo_bd_e_max_boltz,0.03772260595883482,-0.10316806968706771,-0.03639520058059274,-0.1395746021370418,0.02447352735289348,-0.10992666895998784,-0.001067136772427739,0.014769414402498552,0.021051223845653624,0.006376281330382645,0.039866997663348974,-0.10694461788072228,-0.05382321841876016,0.2113848341634474,0.05941132059281071,-0.08459942491730632,0.012716710744039818,0.055103890928865584,-0.02531644098115815,-0.01897528749852398
nbo_bd_e_avg_boltz,0.049750438426098186,-0.10770431739635991,-0.052426474663716964,-0.17417706131224353,0.040245408837824806,-0.08745169989377612,0.02901690614422275,0.010970678456932137,0.03165038224206065,-0.007420537304142077,-0.006189674166037813,-0.05545432678653338,-0.030176116136065422,0.08964692508828387,0.012340673240367946,-0.006201727281434644,-0.0028065972883080798,0.023088438695150343,-0.024300396620403755,-0.01670953173308673
nbo_bds_e_min_boltz,0.039964987477396595,-0.06244474712372843,-0.01841634275085232,-0.09200445291523929,-0.004724875782843516,0.11510888116155465,-0.04606960893275664,0.13314253121323524,0.10768258263884371,0.05412037801219232,0.16704779025912198,0.041961977757817306,0.11917751598240577,-0.11755945511444929,-0.10165694550609951,-0.17324886664504124,0.0993117392946222,-0.1132511685081462,0.04222944399941042,0.050698553643255234
nbo_bds_e_avg_boltz,0.04316321465474634,-0.06036779590644185,-0.008224821416022066,-0.08269971525743443,-0.015042342363738314,0.09112292214158449,-0.08112379140739631,0.16196365996248008,0.11380128530762394,0.08113037131453378,0.18575746687512812,0.029244519167705783,0.08877475002336187,-0.07746316196212162,-0.09694086142171884,-0.17538218866994926,0.0916120626453879,-0.080095314075814,0.0686044296499781,0.061083228891951724
nbo_bd_occ_min_boltz,-0.06423903614840935,0.07020246343359551,0.05965415872755469,0.02474503207367637,-0.017652863415558127,0.0676357356600652,0.07409352771866214,0.030678045558096737,0.025077980821764333,-0.0033852177306153844,0.04613260422607011,-0.046412894571027076,0.1421245234275814,-0.04900593290647877,-0.09105810240490622,0.06576864300533419,0.029990002376145554,-0.07424352104098446,0.07460715841272438,0.04902890181757891
nbo_bd_occ_avg_boltz,-0.0782746053075768,0.07415667473130479,0.08179932974260894,0.03777422841167511,-0.03578750631669745,0.01989801401564241,0.04645649865360824,0.05032753606716959,0.004676837990839869,0.007768027177041576,0.04102978996762137,-0.043269051804093114,0.09699703694810959,0.012954413862917336,-0.045646855736516605,0.07254148825812098,0.019846971229995104,-0.058316792862114206,0.03031319554090725,0.032715562076521376
nbo_bds_occ_max_boltz,-0.030662058432582004,0.04780097296630439,0.06951092268739165,0.17796670874883877,-0.041882289535115406,0.033659777227992085,-0.08933661558652269,0.03619945449254822,-0.04077101772773523,0.019844367755029513,0.022340150197503558,0.04853297073181861,-0.07270997120128804,-0.10278667502340867,0.05256881844432613,0.138229763089893,-0.14392420984183474,0.06323717889881998,0.1058660975293253,0.027512151122275074
nbo_bds_occ_avg_boltz,-0.028472131548712424,0.048247553103005575,0.06948402961129722,0.19031696761176145,-0.03817302034255723,0.07453516888769822,-0.08397860301029376,0.02918109665085502,-0.03939709600611358,0.011110392994675228,0.032476106137142954,0.04796895092657396,-0.05317620530527857,-0.12064560627348143,0.057225095351919365,0.12638834142855565,-0.13238706619416352,0.043403042245926456,0.08709463616340984,0.021943590807878284
E_solv_total_boltz,-0.11351657028857123,-0.03531479882264967,0.048530938390811545,0.016019765158856707,0.0450798482021778,-0.03531463518340126,0.0025617809048283334,-0.021376091323080656,-0.03845991225722581,-0.04793819149133871,-0.02248456571528869,0.010845040153832908,-0.003007811529244532,0.018307914277775963,-0.03691280846194127,0.056599735037184656,0.05308158729884025,0.02130276728917894,0.0690291663843076,-0.08411270336638738
