model,label,recommendation_number,mean_best_yield_found,mean_simple_regret,median_simple_regret
M2_all_kraken,All cleaned Kraken descriptors,19,88.78666666666668,0.38833333333333303,0.0
M2_all_kraken,All cleaned Kraken descriptors,20,88.78666666666668,0.38833333333333303,0.0
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,1,78.19416666666667,10.980833333333331,9.585
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,2,83.16416666666667,6.010833333333334,5.93
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,3,86.42083333333333,2.7541666666666664,1.1900000000000048
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,4,87.62916666666666,1.5458333333333332,0.34499999999999886
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,5,87.72250000000001,1.4524999999999995,0.0
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,6,88.03250000000001,1.1424999999999994,0.0
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,7,88.1375,1.037499999999999,0.0
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,8,88.28583333333334,0.8891666666666657,0.0
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,9,88.58166666666666,0.5933333333333325,0.0
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,10,88.5825,0.5924999999999999,0.0
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,11,88.5825,0.5924999999999999,0.0
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,12,88.5825,0.5924999999999999,0.0
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,13,88.5825,0.5924999999999999,0.0
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,14,88.5825,0.5924999999999999,0.0
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,15,88.5825,0.5924999999999999,0.0
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,16,88.5825,0.5924999999999999,0.0
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,17,88.5825,0.5924999999999999,0.0
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,18,88.5825,0.5924999999999999,0.0
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,19,88.5825,0.5924999999999999,0.0
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,20,88.59833333333334,0.5766666666666668,0.0
M4_pc_scores,PC1-PC4 scores,1,80.08583333333333,9.089166666666666,6.314999999999998
M4_pc_scores,PC1-PC4 scores,2,85.22583333333334,3.9491666666666667,3.3599999999999994
M4_pc_scores,PC1-PC4 scores,3,86.32416666666667,2.8508333333333327,0.4650000000000034
M4_pc_scores,PC1-PC4 scores,4,87.3625,1.8125,0.0
M4_pc_scores,PC1-PC4 scores,5,87.3625,1.8125,0.0
M4_pc_scores,PC1-PC4 scores,6,87.395,1.78,0.0
M4_pc_scores,PC1-PC4 scores,7,87.4375,1.7374999999999996,0.0
M4_pc_scores,PC1-PC4 scores,8,87.4375,1.7374999999999996,0.0
M4_pc_scores,PC1-PC4 scores,9,87.4375,1.7374999999999996,0.0
M4_pc_scores,PC1-PC4 scores,10,88.11166666666666,1.0633333333333326,0.0
M4_pc_scores,PC1-PC4 scores,11,88.11166666666666,1.0633333333333326,0.0
M4_pc_scores,PC1-PC4 scores,12,88.45833333333333,0.7166666666666662,0.0
M4_pc_scores,PC1-PC4 scores,13,88.45833333333333,0.7166666666666662,0.0
M4_pc_scores,PC1-PC4 scores,14,88.54916666666666,0.6258333333333326,0.0
M4_pc_scores,PC1-PC4 scores,15,88.54916666666666,0.6258333333333326,0.0
M4_pc_scores,PC1-PC4 scores,16,88.54916666666666,0.6258333333333326,0.0
M4_pc_scores,PC1-PC4 scores,17,88.54916666666666,0.6258333333333326,0.0
M4_pc_scores,PC1-PC4 scores,18,88.54916666666666,0.6258333333333326,0.0
M4_pc_scores,PC1-PC4 scores,19,88.54916666666666,0.6258333333333326,0.0
M4_pc_scores,PC1-PC4 scores,20,88.54916666666666,0.6258333333333326,0.0
M5_ligand_onehot,Ligand identity one-hot baseline,1,82.28166666666667,6.8933333333333335,6.314999999999998
M5_ligand_onehot,Ligand identity one-hot baseline,2,84.11749999999999,5.0575,3.5900000000000034
M5_ligand_onehot,Ligand identity one-hot baseline,3,86.89916666666666,2.2758333333333325,1.4750000000000014
M5_ligand_onehot,Ligand identity one-hot baseline,4,86.99416666666667,2.1808333333333323,1.3800000000000026
M5_ligand_onehot,Ligand identity one-hot baseline,5,87.6825,1.4924999999999986,0.6300000000000026
M5_ligand_onehot,Ligand identity one-hot baseline,6,87.75,1.4249999999999983,0.34499999999999886
M5_ligand_onehot,Ligand identity one-hot baseline,7,88.58166666666666,0.5933333333333325,0.0
M5_ligand_onehot,Ligand identity one-hot baseline,8,88.59750000000001,0.5774999999999993,0.0
M5_ligand_onehot,Ligand identity one-hot baseline,9,88.59750000000001,0.5774999999999993,0.0
M5_ligand_onehot,Ligand identity one-hot baseline,10,88.59750000000001,0.5774999999999993,0.0
M5_ligand_onehot,Ligand identity one-hot baseline,11,88.59750000000001,0.5774999999999993,0.0
M5_ligand_onehot,Ligand identity one-hot baseline,12,88.59833333333334,0.5766666666666668,0.0
M5_ligand_onehot,Ligand identity one-hot baseline,13,88.59833333333334,0.5766666666666668,0.0
M5_ligand_onehot,Ligand identity one-hot baseline,14,88.59833333333334,0.5766666666666668,0.0
M5_ligand_onehot,Ligand identity one-hot baseline,15,88.59833333333334,0.5766666666666668,0.0
M5_ligand_onehot,Ligand identity one-hot baseline,16,88.59833333333334,0.5766666666666668,0.0
M5_ligand_onehot,Ligand identity one-hot baseline,17,88.59833333333334,0.5766666666666668,0.0
M5_ligand_onehot,Ligand identity one-hot baseline,18,88.59833333333334,0.5766666666666668,0.0
M5_ligand_onehot,Ligand identity one-hot baseline,19,88.80250000000001,0.3724999999999999,0.0
M5_ligand_onehot,Ligand identity one-hot baseline,20,88.80250000000001,0.3724999999999999,0.0
