model,label,n_transformed_features_min,n_transformed_features_max,n_transformed_features_last,n_fit_rows,fit_seconds,fitted_kernel_last,rmse,mae,r2,mean_predictive_std
df_onehot_ligand,traintest_80_20,36,36,36,2457,2.7879165000049397,RBF(length_scale=1),9.460811818370441,6.893340408108841,0.8977098741229337,17.55954865080584
df_bur_boltz_vbur_min,traintest_80_20,30,30,30,2457,2.0968899000436068,RBF(length_scale=1),11.654968099907718,8.470328641066867,0.8447616267654354,9.77185310669246
df_bur_boltz_vbur_min_vbur_delta,traintest_80_20,31,31,31,2457,1.5346312000183389,RBF(length_scale=1),10.809525394006785,7.929480878533746,0.8664665231689361,13.444956710456074
df_interp,traintest_80_20,33,33,33,2457,1.4824704999336973,RBF(length_scale=1),10.255595135981919,7.426515844074012,0.8798016128857343,19.40696763731944
df_pca_augmented,traintest_80_20,40,40,40,2457,1.678686699946411,RBF(length_scale=1),11.324131893638468,8.510602841587406,0.8534496895712572,20.586905529610014
