model,label,n_transformed_features_min,n_transformed_features_max,n_transformed_features_last,n_fit_rows,fit_seconds,fitted_kernel_last,rmse,mae,r2,mean_predictive_std
df_onehot_ligand,LOLO_all_pooled,35,35,35,21504,15.295185500057414,RBF(length_scale=1),20.498860916554676,15.56901850048542,0.5360569373151697,13.356052910394899
df_bur_boltz_vbur_min,LOLO_all_pooled,30,30,30,21504,17.038543499889784,RBF(length_scale=1),18.05192799938148,12.289430272990936,0.6402072458564481,11.626331641752571
df_bur_boltz_vbur_min_vbur_delta,LOLO_all_pooled,31,31,31,21504,15.082555699977092,RBF(length_scale=1),19.617679955379245,14.760046508609394,0.5750865112911836,18.172989760616645
df_interp,LOLO_all_pooled,33,33,33,21504,15.457458499702625,RBF(length_scale=1),24.643570543593697,21.256908599800894,0.3294788344486904,28.159395830517088
df_pca_augmented,LOLO_all_pooled,40,40,40,21504,18.170102800126188,RBF(length_scale=1),29.064965832388566,26.280926750764234,0.0672938056276352,29.981199662611257
