,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
vmin_vmin_boltz,-0.04067306530540891,0.10981953552077285,-0.04133824420763735,0.13129977274451798,0.016202252874524727,0.037612209059362224,0.07083604441466967,-0.16168951944891624,-0.05080475276331399,0.021807081831891128,-0.12620135626624704,0.02858889649020903,-0.048817396353129844,-0.06946741755427026,0.037648006097467546,0.0028639490591531947,-0.03406338822670173,0.018786409119222355,0.04083822849690387,-0.03549290610578977
vmin_r_boltz,-0.031976712086411285,0.09478640684095863,-0.029553152030867363,0.10669412842363263,0.0018462569981044369,-0.010933563724921519,0.07824560503453841,-0.2043882023918529,-0.051469096976712175,0.006859764445750129,-0.1408422415617166,-0.004695491678333696,-0.0032881389527683186,-0.11781068871775531,0.06772318972672482,0.05844789612091793,-0.08985900140865082,-0.021348366371442107,0.03120262690576577,-0.010434612978710898
fmo_e_homo_boltz,0.06898548677470817,-0.08071910798533302,0.007619697108200901,-0.06775260720287951,-0.03761146177918625,0.016743681811870414,-0.10389297138139217,0.17285287209727884,0.10574822371716054,0.10548013335323744,0.1279954876441278,-0.053338878784683755,-0.06688768899358934,-0.00043091658369926594,0.02918070723486676,-0.004687936771092596,-0.13162617850536096,0.050952116096704664,0.011047597407272076,0.008131259313720336
fmo_e_lumo_boltz,-0.051804169743571216,-0.06535314216846466,0.10796222610018477,-0.040589133625210716,-0.043973635187085136,0.06551254621802484,-0.012614193882903885,0.16657404679975285,0.08400804069998818,-0.10361920587349652,0.10029991610780437,-0.07706017927526763,0.08141754521630984,0.01990034494641961,-0.051889706022894326,0.208209925873264,-0.07906588265063605,0.029285623028575087,-0.03532955044785303,-0.08977719274460247
fmo_mu_boltz,0.00013882147907643555,-0.09273117396310193,0.08355680646603876,-0.06735174183492432,-0.053145276311731965,0.057415708817153875,-0.06681043359189132,0.21814195285231963,0.12030213539943557,-0.01772529993659957,0.14459589657451655,-0.08616969702527637,0.02278459576765829,0.014385220574231944,-0.02196979683666639,0.1504078542446747,-0.13100279284495472,0.04974038863081816,-0.019843442855317334,-0.061469808560850464
fmo_eta_boltz,-0.09159224788164783,-0.003985559825289198,0.09019993183115249,0.00924307409824874,-0.013789124099036633,0.04667370301265861,0.05796408261109137,0.03202994249015981,0.0038010636224940844,-0.16158573344317007,0.00338149839804619,-0.03252551436442575,0.1163283732085193,0.017846947243089356,-0.06519516888005379,0.18684531632724521,0.017770356825223335,-0.00804413009279905,-0.03852263698151841,-0.08462851403012875
fmo_omega_boltz,0.03340007271515537,0.07971758342476938,-0.10464212603735679,0.05270235635226972,0.06375060266599065,-0.06458417968821509,0.02713644552064126,-0.18250154285992437,-0.10095300062113181,0.06662898784199384,-0.10461508350324317,0.09637404866597321,-0.05130480963521513,-0.008635987849935522,0.030016835862358912,-0.1808235462049282,0.09212359295989582,-0.035488798710474515,0.04644683002413459,0.08700621214758886
somo_ra_boltz,-0.09090076064035058,-0.04873847810309231,0.10621398937627595,-0.023694183520355044,-0.017319144818027377,0.01983843841126276,0.00362847126660254,0.11206859050198796,0.03753412693978621,-0.08276755078540743,0.08362210271281934,-0.07991314664170947,0.08483257700011165,0.020597781737063114,-0.03603989821363237,0.13910659481460108,-0.0336682887797788,0.021561499518047544,-0.014789237241145226,-0.04056404754465644
somo_rc_boltz,0.10888995775494717,-0.007993176998542956,-0.03360218866133943,-0.022860540318714,-0.05506883064441642,0.030020989491115202,-0.09546834800925358,0.0875043027577399,0.0712920624097873,0.11884259619956208,0.028384615949368253,0.018080287976449463,-0.10809661345020391,-0.04890326001981471,0.028736908391101185,-0.014798762055853495,-0.060430142850511986,0.03823045623381557,-0.005295647749811082,0.011685766112934426
nbo_P_boltz,-0.023789768179655685,0.08843548980625081,0.07250861501576493,0.169540372737658,-0.05832182781223616,0.10463545583037326,-0.09435041476915673,0.059708768379326926,-0.010141408801609963,0.012725443790708092,0.08102991133941712,0.08734216792850741,0.050908459576687805,-0.08342708455500021,-0.038175454035749234,-0.05749988980510572,0.05553263720725879,-0.06483005667365324,-0.03950197698227689,-0.0157147571200595
nbo_P_ra_boltz,0.006250987392396057,0.07919751421555171,0.060430511097741904,0.14845570213893888,-0.057316689087553774,0.10941775995287391,-0.12469765940227578,0.0917940967846626,0.009431623058952156,0.040900449790066,0.07447598645957498,0.14833061673642572,0.028242283653964695,-0.12586336910231483,-0.053146208295924216,-0.06067383792550226,0.09513625039275672,-0.07437208390953104,-0.028889675546254934,-0.03035278305804498
spindens_P_ra_boltz,-0.07997395326151288,0.0323907014996403,0.0549111702068214,0.08472242745236694,-0.011124826040897151,0.0020019789045300773,0.06033611290120522,-0.07072421476037508,-0.04783655542609963,-0.08392538412274952,0.0216704635056284,-0.15914127291747326,0.06912737354486562,0.1191006602082672,0.03628543041055529,0.028186960821541537,-0.11765869229278925,0.03454218149551915,-0.05061919629102475,0.017736578865801184
nbo_P_rc_boltz,-0.039679410893202295,0.0435911666603694,0.0845139272210813,0.13129264478968855,-0.0025393087050382124,0.09879350248361474,-0.04868171290467074,0.04986242110129227,-0.06054636107129435,-0.10727618156376971,0.0708140304091805,0.11142778916573308,0.12645425507997227,-0.0011213075080178103,-0.10925811157099885,-0.066303160106717,0.22998480441795263,-0.11010574054225346,-0.161822710309651,0.007967640376057267
spindens_P_rc_boltz,-0.016882843171063425,-0.08235497959569706,0.003483193431302828,-0.09183447300832139,0.09958013766468475,-0.028956456346142245,0.08470248374408329,-0.028528597143080814,-0.08135362626836323,-0.1923315151503113,-0.04005715725792296,0.02577034061432512,0.11284045112459667,0.14861768519843951,-0.10538612935056081,-0.011131070231893556,0.26325626150034037,-0.05882988911917611,-0.1889596508749571,0.041229720519786836
nmr_P_boltz,0.03769259409833001,-0.07490241687404414,-0.07291297641616058,-0.1810650986017733,0.05681458340323675,-0.05765460093537013,0.10363011427013502,-0.0420488101246847,0.06684881179610236,0.02736858184911803,-0.09966994929856396,-0.016460077781637175,0.016149754075308775,-0.08619826514595222,-0.032345405371637936,0.06587134038331414,-0.010034819535676837,-0.02570897394260193,0.04696666988760724,-0.010295274402939827
nmrtens_sxx_P_boltz,0.045582917017370606,-0.07867852794285046,-0.06957989608074898,-0.17067392619285934,0.06236384612316443,-0.023733773509168127,0.08513704053327226,-0.024886839270960054,0.05638431003647021,0.0009895132338618162,-0.08962300555796668,0.03474523858047085,0.03754980238200528,-0.1585617227426969,-0.055326033331832045,0.07232080102497421,0.0011696068672092386,-0.053907869160298494,0.03473106195008763,-0.011171953862714593
nmrtens_syy_P_boltz,0.042521559836255836,-0.08047271404423188,-0.07711053042498248,-0.17399109033967972,0.05978184563140478,-0.07012120735502739,0.08262426295211452,-0.039286000426002554,0.0580818706870925,0.03538354374272579,-0.06251580086188274,-0.049090915126636325,-0.0006031210079302518,-0.026938950859850264,-0.020396706831905476,0.012631361833528403,0.01798529056775716,-0.01666039042558115,0.0436546581462931,-0.002528278315695104
nmrtens_szz_P_boltz,-0.0009117661699017645,-0.02955412721717325,-0.045383233534956206,-0.14543915653555517,0.0188483888874339,-0.08638742540847832,0.13688027486317067,-0.06637731338538706,0.07749634327786806,0.05906674483126806,-0.14293339363448196,-0.064279084540255,-0.007538034925470144,0.0016732647911075482,0.008570134975738691,0.11357441739556388,-0.07497221633971468,0.028274034709577123,0.06003237395873569,-0.017128212704599077
efg_amp_P_boltz,-0.0291301441537886,0.06780952342424267,0.04652010345363224,0.1781132447951756,-0.04579394552841305,0.030487715815229955,-0.07676981212843201,-0.005079760651821004,-0.050343356328757284,0.04844322150867786,0.14328865710995117,-0.10367622648228507,-0.009651651257715721,0.14576412132911637,0.08304966683413317,-0.16267529747247966,0.1046973414928311,0.0003347814775739727,-0.030230183115429854,-0.019433043926685822
efgtens_xx_P_boltz,0.025880067565979402,-0.04869608381844965,-0.03955358981059055,-0.13537420185252108,0.04628199977791592,0.03436469672302898,0.0788324090196855,0.019054797672993406,0.04609854669674446,-0.06025336055463665,-0.13665762162137157,0.17207888091794205,0.0629130736797171,-0.306904445593266,-0.10385651297262204,0.18669368639290226,-0.06094319805015008,-0.10804531146483443,-0.025855939661837885,0.011962704804441116
efgtens_yy_P_boltz,-0.008444659153992055,-0.007835134795010332,0.002959068334330892,-0.0068762549941988795,-0.018364533327185784,-0.10900671611523423,-0.02946115509293832,-0.034851441692981835,-0.013512490219297048,0.04169832333830559,0.049362543801503136,-0.2008628375037241,-0.11383404582266887,0.40871614754151664,0.08971728666421652,-0.12705870397989633,-0.042819527982810024,0.22825994088728305,0.09226403401870498,-2.248838112003937e-05
efgtens_zz_P_boltz,-0.02708776263279946,0.07123927753511908,0.04989849341299839,0.18530848514319745,-0.045654009147021495,0.04758822398950049,-0.07931715254299607,0.004521288499905363,-0.049556519490914136,0.044235723052591255,0.13895817376537634,-0.05646314074382608,0.013873029210129728,0.05757550182679268,0.06100175452286427,-0.1388940279995007,0.11736363472259792,-0.05181956410216586,-0.04456097564834697,-0.015836929821738704
nuesp_P_boltz,-0.046938017133374865,0.11828046474363016,0.02432847485393795,0.18099562487815457,-0.030549612051171137,0.06891686462024907,-0.0020994644068638205,-0.06908746533941498,-0.04617903154944667,0.007071503490972679,-0.042515386081349395,0.04699905032553042,-0.0032462444166733717,-0.0768023348159754,0.01861598076043497,0.011810816107443417,-0.018666353358940208,-0.01879675689154328,-0.0002792306762477992,-0.009570480132165146
E_solv_cds_boltz,-0.10208524114046333,0.010238110515263799,0.009640274876270682,0.04608673773143286,0.10844640205365826,-0.03982783099182233,0.0196557211790643,-0.01935389536118296,-0.013224318228106042,-0.05697142386474276,-0.021350725534009192,-0.034889370876351966,0.009925177341322144,-0.041884792202231624,-0.017455384428552212,0.05478411135766499,0.06081366380372279,0.00502577516213476,0.10581989774315523,-0.07439824644058765
nbo_lp_P_percent_s_boltz,-0.06021178546055992,0.11463620449547707,0.08409198879189997,0.1273687539942879,-0.06492782350201301,0.008761818117146793,0.007081351540783972,-0.03018628750111332,0.007310061006749796,-0.0027724630504295496,-0.037172456299908646,0.016410837589773464,0.010582432810545384,0.012101817074019916,0.007298470849023908,0.08267659956174839,-0.05721583261083554,-0.010461984130544638,-0.06277951282967614,-0.0184864284103697
nbo_lp_P_occ_boltz,-0.054822113045940285,0.0730498347640198,0.10715183388743035,0.04984355550055183,-0.08486245579431562,-0.04097943777057935,0.010397563064000538,0.021116036721035555,0.02453046435714157,-0.05539116768337703,-0.008468198108339533,-0.042706153537820146,0.039435454921946916,0.12277166271540664,-0.01368975301876793,0.14596129630104282,0.016086823205108902,-0.024888898436486007,-0.14585156063080407,-0.1023669529417999
nbo_lp_P_e_boltz,0.0634384950403465,-0.12615088572974759,-0.031063330188663772,-0.13236463393674694,0.03310686055240726,-0.005941799891446121,-0.05239246715958344,0.11017775895287235,0.025090353951789664,0.0039427700943654225,0.09656771167295634,-0.008243839640314844,0.013730922266486678,0.004824422910061681,-0.027098866846635865,-0.06317776849903989,0.0493811402365749,-0.003031825872434002,0.027427002743766526,0.035659645726227734
nbo_bd_e_max_boltz,0.03772260595883474,-0.1031680696870678,-0.036395200580592646,-0.13957460213704154,0.024473527352892765,-0.10992666895998823,-0.0010671367724280313,0.014769414402499119,0.021051223845653597,0.006376281330382931,0.03986699766334873,-0.10694461788072257,-0.05382321841875902,0.21138483416344828,0.059411320592807564,-0.08459942491730588,0.012716710744040197,0.05510389092886572,-0.0253164409811584,-0.018975287498524313
nbo_bd_e_avg_boltz,0.049750438426098095,-0.10770431739635997,-0.052426474663716784,-0.17417706131224325,0.040245408837824306,-0.0874516998937765,0.029016906144222494,0.01097067845693255,0.03165038224206054,-0.007420537304142125,-0.006189674166037929,-0.0554543267865336,-0.030176116136064732,0.0896469250882841,0.012340673240366367,-0.006201727281434644,-0.002806597288307955,0.02308843869515048,-0.024300396620404056,-0.01670953173308723
nbo_bds_e_min_boltz,0.03996498747739655,-0.062444747123728515,-0.018416342750852285,-0.09200445291523933,-0.004724875782842832,0.11510888116155504,-0.046069608932756155,0.13314253121323533,0.10768258263884405,0.05412037801219392,0.1670477902591212,0.04196197775781819,0.11917751598240488,-0.11755945511445186,-0.10165694550609769,-0.17324886664504152,0.09931173929462159,-0.11325116850814637,0.04222944399941003,0.05069855364325557
