model,label,n_transformed_features,n_fit_rows,fit_seconds,fitted_kernel,rmse,mae,r2,nlpd,coverage_95,mean_predictive_std,prediction_outside_0_100
M5_ligand_onehot,Ligand identity one-hot baseline,32,900,3.1998570000287145,"1.27**2 * Matern(length_scale=2.02, nu=2.5) + WhiteKernel(noise_level=1e-05)",12.438599441236097,9.685072237706201,0.8297817010344756,3.931431441776096,0.9518229166666666,12.899989187969178,0.02734375
M1_interpretable_5,Five interpretable Kraken descriptors,29,900,1.833741500042379,"2.29**2 * Matern(length_scale=3.79, nu=2.5) + WhiteKernel(noise_level=0.0577)",12.482504582420406,9.746677385507168,0.8285779243227932,3.9435274208616016,0.9505208333333334,13.00897531786327,0.022135416666666668
M4_pc_scores,PC1-PC4 scores,28,900,2.0478144998196512,"2.2**2 * Matern(length_scale=3.66, nu=2.5) + WhiteKernel(noise_level=0.0796)",12.711383955158114,9.981544196439835,0.8222338956178712,3.9660321873012188,0.9661458333333334,13.605567928806963,0.016927083333333332
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,36,900,1.7868466000072658,"3.49**2 * Matern(length_scale=5.27, nu=2.5) + WhiteKernel(noise_level=0.0708)",13.070579630591908,10.241847217989623,0.8120453927709443,3.9841058011897204,0.9557291666666666,13.281831693381832,0.016927083333333332
M0_vbur_vmin,%Vbur(min) + Vmin,26,900,1.5619336999952793,"1.87**2 * Matern(length_scale=3.28, nu=2.5) + WhiteKernel(noise_level=0.126)",14.087883010505763,10.608647484635782,0.7816492167514681,4.081522733500756,0.9401041666666666,14.61968816014398,0.0078125
M2_all_kraken,All cleaned Kraken descriptors,214,900,4.047162000089884,"1.69**2 * Matern(length_scale=2.58, nu=2.5) + WhiteKernel(noise_level=1e-05)",14.660847742228386,11.731476400569571,0.7635270614910467,4.096605448487719,0.9583333333333334,14.83725179136431,0.014322916666666666
