model,label,n_transformed_features_min,n_transformed_features_max,n_transformed_features_last,n_fit_rows,fit_seconds,fitted_kernel_last,rmse,mae,r2,mean_predictive_std
df_onehot_ligand,5fold,36,36,36,12288,7.600721700000577,RBF(length_scale=1),9.393633969110203,6.933667137245205,0.9025745333653724,17.51593031909751
df_bur_boltz_vbur_min,5fold,30,30,30,12288,9.022617900045589,RBF(length_scale=1),11.43237395356744,8.146555018718276,0.8556960991561023,9.876937906532174
df_bur_boltz_vbur_min_vbur_delta,5fold,31,31,31,12288,10.21468670014292,RBF(length_scale=1),10.711801690602547,7.7863773410664265,0.8733135182559728,13.452367540668106
df_interp,5fold,33,33,33,12288,7.017137400107458,RBF(length_scale=1),10.073874854070937,7.598615177771663,0.8879534908888937,19.3490174104868
df_pca_augmented,5fold,40,40,40,12288,9.513818999985233,RBF(length_scale=1),11.287429313620565,8.710193881610865,0.8593319993543969,20.509220725953003
