model,mean_r2,std_r2,mean_rmse,std_rmse,n_ligands
df_onehot_ligand,0.4948320233706093,0.2439931197585306,20.137987803638367,3.829457676586244,8
df_bur_boltz_vbur_min,0.6341998615334712,0.21312108926892062,17.129146092907156,5.697759087807816,8
df_bur_boltz_vbur_min_vbur_delta,0.5624476572002652,0.15745741025987128,19.19933436164282,4.02975519126535,8
df_interp,0.3224497217444405,0.2864749785066882,23.835370538650587,6.259447293675904,8
df_pca_augmented,0.03558830702373089,0.10524034777840995,28.974433785252714,2.2922534026414203,8
