model,label,n_transformed_features_min,n_transformed_features_max,n_transformed_features_last,n_fit_rows,fit_seconds,fitted_kernel_last,rmse,mae,r2,mean_predictive_std
df_onehot_ligand,LOLO_AmPhos,35,35,35,2688,2.2343463000142947,RBF(length_scale=1),14.529887421532187,11.21646751301161,0.7886184873367328,13.261478385560517
df_onehot_ligand,LOLO_CataCXium A,35,35,35,2688,1.7697530000004917,RBF(length_scale=1),16.634036456599397,13.217132165270547,0.7105256152473753,13.295948313126274
df_onehot_ligand,LOLO_P(Cy)3,35,35,35,2688,1.6029070999938995,RBF(length_scale=1),16.246877193672983,12.906281110564342,0.6988655998910758,13.389504289799758
df_onehot_ligand,LOLO_P(Ph)3,35,35,35,2688,1.538116900017485,RBF(length_scale=1),20.145007792428185,15.819152102989671,0.6323174102958145,13.086196104673528
df_onehot_ligand,LOLO_P(o-Tol)3,35,35,35,2688,1.7342469000723213,RBF(length_scale=1),22.300247547169143,17.762960639654565,0.3405473561930523,13.411587555510678
df_onehot_ligand,LOLO_P(tBu)3,35,35,35,2688,2.8238416999811307,RBF(length_scale=1),21.740473569559594,15.992457202532043,0.43436420252088104,13.383028995985882
df_onehot_ligand,LOLO_SPhos,35,35,35,2688,2.9334629999939352,RBF(length_scale=1),22.680519427668646,16.89592700774578,0.3395431149998446,13.480049246527892
df_onehot_ligand,LOLO_XPhos,35,35,35,2688,2.9460804999107495,RBF(length_scale=1),26.8268530204768,20.741770262114812,0.013874400480097804,13.540630391974654
df_bur_boltz_vbur_min,LOLO_AmPhos,30,30,30,2688,2.9929440999403596,RBF(length_scale=1),12.615128186417374,8.192193332281857,0.8406596237062678,7.337879635476514
df_bur_boltz_vbur_min,LOLO_CataCXium A,30,30,30,2688,2.702456200029701,RBF(length_scale=1),19.405160579754735,13.6793088966092,0.6060425447944191,9.061131259092159
df_bur_boltz_vbur_min,LOLO_P(Cy)3,30,30,30,2688,2.0103021000977606,RBF(length_scale=1),21.14454374186154,14.862142173342171,0.4899447628131227,14.016895505868172
df_bur_boltz_vbur_min,LOLO_P(Ph)3,30,30,30,2688,1.972560100024566,RBF(length_scale=1),24.575524544735025,21.463357076997085,0.45280291017760954,22.81464812402783
df_bur_boltz_vbur_min,LOLO_P(o-Tol)3,30,30,30,2688,1.8559681000187993,RBF(length_scale=1),23.658224345686268,15.612000313018521,0.2577870334372102,10.816669777764512
df_bur_boltz_vbur_min,LOLO_P(tBu)3,30,30,30,2688,1.6791989000048488,RBF(length_scale=1),16.847959728684373,11.553138643961057,0.6603015866552173,11.695978193141864
df_bur_boltz_vbur_min,LOLO_SPhos,30,30,30,2688,1.5136638999683782,RBF(length_scale=1),9.70393268152772,6.7266968781914045,0.8790978486063197,8.148961894889112
df_bur_boltz_vbur_min,LOLO_XPhos,30,30,30,2688,1.5171643999638036,RBF(length_scale=1),9.082694934590211,6.226604869526195,0.886962582077603,9.118488743760393
df_bur_boltz_vbur_min_vbur_delta,LOLO_AmPhos,31,31,31,2688,1.5180735000176355,RBF(length_scale=1),13.59147623410916,8.85650748470716,0.8150408747427794,9.746610114741914
