model,label,n_transformed_features_min,n_transformed_features_max,n_transformed_features_last,n_fit_rows,fit_seconds,fitted_kernel_last,rmse,mae,r2,mean_predictive_std
df_onehot_ligand,LOLO_SPhos,35,35,35,2688,2.4528062000172213,RBF(length_scale=1),22.680519427668646,16.89592700774578,0.3395431149998446,13.480049246527892
df_bur_boltz_vbur_min,LOLO_SPhos,30,30,30,2688,2.8057232999708503,RBF(length_scale=1),9.70393268152772,6.7266968781914045,0.8790978486063197,8.148961894889112
df_bur_boltz_vbur_min_vbur_delta,LOLO_SPhos,31,31,31,2688,2.977571800001897,RBF(length_scale=1),14.074685863009652,12.488490855218453,0.7456592779784994,24.718974491033265
df_interp,LOLO_SPhos,33,33,33,2688,2.8570449999533594,RBF(length_scale=1),14.889568526903638,13.292752024284988,0.7153555603472015,25.86633424290586
df_pca_augmented,LOLO_SPhos,40,40,40,2688,2.640065800049342,RBF(length_scale=1),27.996726478130373,25.115747892135115,-0.006359122036416975,30.363647265213654
